doctor_name,Speciality,Ratings,Location,timing,Availability
Dr. Ananya Desai,Infectious Diseases,4.6,Mumbai,09:00 - 5:00,"Monday, Friday"
Dr. Rohan Patel,Endocrinology,3.6,Delhi,10:00 - 12:00,"Monday, Wednesday"
Dr. Sneha Singh,Allergy and Immunology,4.5,Bangalore,14:00 - 18:00,"Tuesday, Thursday"
Dr. Akash Sharma,Neurology,4.5,Kolkata,09:00 - 10:30,"Wednesday, Friday"
Dr. Pooja Reddy,Cardiology,3.2,Chennai,11:45 - 15:45,"Monday,Tuesday"
Dr. Aryan Kapoor,Pulmonology,4.2,Hyderabad,17:20 - 20:40,"Tuesday, Wednesday"
Dr. Kavita Mehta,Gastroenterology,4.1,Pune,21:15 - 24:00,"Wednesday, Thursday"
Dr. Vikram Choudhary,Rheumatology,4.5,Ahmedabad,09:00 - 10:45,"Monday, Thursday"
Dr. Neha Gupta,Oncology,4,Jaipur,09:15 - 11:45,"Tuesday, Thursday"
Dr. Rahul Malhotra,Nephrology,3.8,Surat,09:45 - 12:15,"Friday, Tuesday"
Dr. Nisha Shah,Urology,4,Lucknow,10:15 - 12:45,"Thursday, Friday"
Dr. Arjun Kumar,Dermatology,3.6,Kanpur,10:30 - 13:00,"Tuesday, Thursday"
Dr. Priya Joshi,Psychiatry/Psychology,4.8,Nagpur,10:45 - 13:45,"Wednesday, Friday"
Dr. Siddharth Trivedi,Ophthalmology,3.9,Visakhapatnam,11:15 - 14:15,"Monday,Tuesday"
Dr. Shreya Banerjee,Gynecology/Obstetrics,4,Indore,11:45 - 14:15,"Tuesday, Wednesday"
Dr. Aditya Sharma,Orthopedics,5,Thane,12:15 - 15:45,"Monday, Wednesday"
Dr. Anjali Verma,Hematology,4.6,Bhopal,12:45 - 15:15,"Tuesday, Thursday"
Dr. Rajat Singh,Andrology,4,Patna,13:15 - 16:45,"Monday, Thursday"
Dr. Meera Krishnan,Gynecological Oncology,4.7,Vadodara,13:45 - 16:45,"Tuesday, Thursday"
Dr. Karan Khanna,Gastrointestinal Surgery,4,Ghaziabad,14:15 - 17:15,"Friday, Tuesday"
Dr. Swati Chatterjee,ENT Specialist,3.1,Ludhiana,14:45 - 17:45,"Thursday, Friday"
Dr. Varun Mehra,General Practitioner/Family Medicine Physician,4.2,Agra,15:15 - 17:45,"Wednesday, Friday"
Dr. Ritu Ahuja,Acupuncturist,4.1,Nashik,15:45 - 18:15,"Monday,Tuesday"
Dr. Tarun Das,Physiatrist,3.2,Faridabad,16:15 - 19:45,"Tuesday, Wednesday"
Dr. Devika Nair,Chiropractor,4.5,Meerut,16:45 - 19:15,"Wednesday, Thursday"
Dr. Abhishek Rao,Pain Management Specialist,3.2,Mumbai,17:15 - 20:15,"Friday, Tuesday"
Dr. Tanvi Mishra,Allergist,4.5,Delhi,17:45 - 20:45,"Thursday, Friday"
Dr. Arnav Gupta,Dermatologist,4.7,Bangalore,18:15 - 20:45,"Tuesday, Thursday"
Dr. Anushka Singh,Pediatric Dermatologist,3.7,Kolkata,18:45 - 21:45,"Wednesday, Friday"
Dr. Harshita Jain,Rheumatologist,3.4,Chennai,19:15 - 21:45,"Monday,Tuesday"
Dr. Yash Kapoor,Physician Assistant,4.2,Hyderabad,19:45 - 22:45,"Tuesday, Wednesday"
Dr. Akanksha Sharma,Family Nurse Practitioner,4.3,Pune,20:15 - 23:15,"Monday, Wednesday"
Dr. Rajeev Reddy,Family Physician,3.4,Ahmedabad,20:45 - 23:15,"Tuesday, Thursday"
Dr. Anika Verma,Internist,4.9,Surat,21:15 - 23:45,"Monday, Thursday"
Dr. Siddharth Mehra,Surgeon,3.1,Jaipur,21:45 - 24:00,"Tuesday, Thursday"
Dr. Priyanka Chaudhary,"Ear, Nose & Throat Doctor",3.5,Lucknow,22:15 - 24:00,"Monday, Friday"
Dr. Rohit Kumar,Pulmonologist,3.4,Kanpur,22:45 - 24:00,"Monday, Wednesday"
Dr. Anjali Saxena,Adult Nurse Practitioner,3.7,Nagpur,09:00 - 11:15,"Tuesday, Thursday"
Dr. Vishal Patel,Nurse Practitioner,4.5,Visakhapatnam,09:30 - 11:30,"Wednesday, Friday"
Dr. Kritika Sharma,Facial Plastic & Reconstructive Surgeon,4.8,Indore,10:00 - 12:15,"Monday,Tuesday"
Dr. Aditi Gupta,Sinus Surgeon / Rhinologist,3.4,Thane,10:15 - 12:30,"Tuesday, Wednesday"
Dr. Mohit Singh,Primary Care Doctor,4.1,Bhopal,10:45 - 13:15,"Tuesday, Thursday"
Dr. Shivani Desai,Addiction Specialist,4.7,Patna,11:15 - 13:15,"Wednesday, Friday"
Dr. Aman Verma,Audiologist,4.5,Vadodara,11:30 - 13:45,"Monday,Tuesday"
Dr. Natasha Chawla,Pediatric Otolaryngologist,3.5,Ghaziabad,12:00 - 14:15,"Tuesday, Wednesday"
Dr. Prateek Kapoor,Infectious Disease Specialist,4.9,Ludhiana,12:30 - 14:45,"Tuesday, Thursday"
Dr. Shweta Reddy,Urgent Care Specialist,4.2,Agra,13:00 - 15:15,"Monday, Thursday"
Dr. Rohan Mehta,Head & Neck Surgeon,4.1,Nashik,13:30 - 15:45,"Tuesday, Thursday"
Dr. Divya Sinha,Pediatrician,3.7,Faridabad,14:00 - 16:30,"Friday, Tuesday"
Dr. Sameer Joshi,Cardiologist,3.8,Meerut,14:30 - 16:30,"Thursday, Friday"
Dr. Ananya Sharma,Interventional Cardiologist,4.6,Rajkot,15:00 - 17:30,"Wednesday, Friday"
Dr. Kartik Patel,Pediatric Cardiologist,4.8,Varanasi,15:30 - 17:30,"Monday,Tuesday"
Dr. Nandini Kapoor,Nephrologist,4.2,Srinagar,16:00 - 18:30,"Tuesday, Wednesday"
Dr. Sahil Choudhary,Dentist,3,Aurangabad,16:30 - 18:30,"Wednesday, Thursday"
Dr. Riya Singh,Dietitian,4.4,Dhanbad,17:00 - 19:30,"Friday, Tuesday"
Dr. Anand Gupta,Psychiatrist,4,Amritsar,17:30 - 19:30,"Monday,Tuesday"
Dr. Ishita Mehra,Nutritionist,3.9,Navi Mumbai,18:00 - 20:30,"Tuesday, Wednesday"
Dr. Karan Khurana,Endocrinologist,5,Allahabad,18:30 - 20:30,"Wednesday, Thursday"
Dr. Natasha Singh,Family Psychiatric & Mental Health Nurse Practitioner,3.6,Ranchi,19:00 - 21:30,"Friday, Tuesday"
Dr. Ravi Verma,Bariatric Surgeon,4.2,Howrah,19:30 - 21:30,"Thursday, Friday"
Dr. Ayesha Khan,Child and Adolescent Psychiatrist,3.8,Jabalpur,20:00 - 22:30,"Tuesday, Thursday"
Dr. Arjun Chatterjee,Gastroenterologist,4.3,Gwalior,20:30 - 22:30,"Wednesday, Friday"
Dr. Anjali Sharma,OB-GYN,3,Vijayawada,21:00 - 23:00,"Tuesday, Thursday"
Dr. Manish Kumar,Neurologist,4.1,Jodhpur,21:30 - 23:00,"Monday, Friday"
Dr. Ritika Jain,Psychosomatic Medicine Specialist,4.2,Raipur,22:00 - 24:00,"Monday, Wednesday"
Dr. Rohit Shah,Forensic Psychiatrist,3.8,Kota,22:30 - 24:00,"Tuesday, Thursday"
Dr. Aarti Sharma,Neuro-Otologist,4.5,Guwahati,23:00 - 24:00,"Wednesday, Friday"
Dr. Aditya Patel,Emergency Medicine Physician,3.6,Chandigarh,09:00 - 11:30,"Monday,Tuesday"
Dr. Niharika Reddy,Pediatric Emergency Medicine Specialist,3.2,Solapur,09:30 - 11:30,"Monday,Tuesday"
Dr. Deepak Mehra,Nuclear Medicine Specialist,4.2,Hubballi-Dharwad,10:00 - 11:30,"Tuesday, Wednesday"
Dr. Sonali Desai,Endodontist,3.9,Bareilly,10:15 - 11:45,"Wednesday, Thursday"
Dr. Rohan Verma,Periodontist,3.6,Moradabad,10:30 - 12:30,"Friday, Tuesday"
Dr. Preeti Singh,Prosthodontist,3.6,Mysore,10:45 - 12:45,"Monday,Tuesday"
Dr. Rishabh Kapoor,Pediatric Dentist,3.3,Gurgaon,11:15 - 13:15,"Tuesday, Wednesday"
Dr. Akanksha Mehra,Optometrist,4.6,Aligarh,11:45 - 13:45,"Monday, Thursday"
Dr. Rohit Desai,Cornea & External Diseases Specialist,3.8,Jalandhar,12:15 - 14:45,"Tuesday, Thursday"
Dr. Neha Gupta,Refractive Surgeon,4.2,Tiruchirappalli,12:45 - 14:15,"Friday, Tuesday"
Dr. Ankit Sharma,Oculoplastic Surgeon,3.3,Bhubaneswar,13:15 - 15:45,"Thursday, Friday"
Dr. Shivani Singh,Pediatric / Strabismus Eye Doctor,4.5,Salem,13:45 - 15:15,"Tuesday, Thursday"
Dr. Siddharth Patel,Retina Specialist (Medical),4,Warangal,14:15 - 16:45,"Wednesday, Friday"
Dr. Anushka Reddy,Neuro-Ophthalmologist,5,Cuttack,14:45 - 16:45,"Monday,Tuesday"
Dr. Pranav Choudhary,Glaucoma Specialist,3.2,Ajmer,15:15 - 17:15,"Tuesday, Wednesday"
Dr. Riya Mehra,Adult Psychiatric & Mental Health Nurse Practitioner,3.4,Bhavnagar,15:45 - 18:15,"Monday,Tuesday"
Dr. Nikhil Kapoor,Women's Health Nurse Practitioner,4.6,Bhiwandi,16:15 - 18:45,"Tuesday, Wednesday"
Dr. Sanya Singh,Hand Surgeon,3.5,Saharanpur,16:45 - 18:45,"Wednesday, Thursday"
Dr. Aditi Mehta,Orthopedic Surgeon,3.7,Gorakhpur,17:15 - 19:15,"Friday, Tuesday"
Dr. Rohit Verma,Spine Specialist,5,Bikaner,17:45 - 20:45,"Thursday, Friday"
Dr. Kavya Patel,Occupational Therapist,3.6,Amravati,18:15 - 20:45,"Tuesday, Thursday"
Dr. Vikas Gupta,Physical Therapist,3.1,Noida,18:45 - 21:45,"Monday, Wednesday"
Dr. Natasha Sharma,Sports Medicine Specialist,3.4,Jamshedpur,19:15 - 21:45,"Tuesday, Thursday"
Dr. Rahul Singh,Hematologist,4.6,Bhilai,19:45 - 22:45,"Wednesday, Friday"
